#R-OTE 4.6.2

# Thu Feb 13 12:54:22 2020  (R-OTE 4.6.2) Edge intersecting Disk model
#   Dbegin: 100.00   Dend: 106.00   Rbegin: 200.00   Rend: 206.00
#   Istar: 100.00   Iast: 50.00   numPoints: 300
#   Limb darkening law used: constant
#   Bnoise: 5.00   Anoise: 5.00
#   acf coefficients, 1.0
#   RandSeed: 10

# In PyOTE, use lightcurve parameters of (as starting point):
#   dist(AU)       = 2
#   speed(km/sec)  = 5
#   Star diam(mas) = 19

# timedelta = 1.00
# timestamp = 2001-01-01 00:00:01.000

FrameNum,timeInfo,primaryData
127,[00:02:07.000],44.69
128,[00:02:08.000],48.18
129,[00:02:09.000],43.97
130,[00:02:10.000],57.15
131,[00:02:11.000],53.17
132,[00:02:12.000],40.02
133,[00:02:13.000],46.59
134,[00:02:14.000],47.70
135,[00:02:15.000],45.08
136,[00:02:16.000],52.48
137,[00:02:17.000],53.63
138,[00:02:18.000],53.34
139,[00:02:19.000],54.77
140,[00:02:20.000],41.62
141,[00:02:21.000],43.97
142,[00:02:22.000],40.18
143,[00:02:23.000],57.35
144,[00:02:24.000],51.86
145,[00:02:25.000],55.33
146,[00:02:26.000],52.65
147,[00:02:27.000],50.51
148,[00:02:28.000],56.69
149,[00:02:29.000],50.44
150,[00:02:30.000],48.04
151,[00:02:31.000],48.75
152,[00:02:32.000],55.78
153,[00:02:33.000],45.68
154,[00:02:34.000],45.67
155,[00:02:35.000],38.39
156,[00:02:36.000],53.04
157,[00:02:37.000],55.75
158,[00:02:38.000],44.00
159,[00:02:39.000],42.10
160,[00:02:40.000],53.27
161,[00:02:41.000],47.25
162,[00:02:42.000],52.61
163,[00:02:43.000],46.50
164,[00:02:44.000],47.81
165,[00:02:45.000],46.61
166,[00:02:46.000],54.80
167,[00:02:47.000],42.66
168,[00:02:48.000],50.92
169,[00:02:49.000],42.82
170,[00:02:50.000],44.31
171,[00:02:51.000],47.93
172,[00:02:52.000],50.72
173,[00:02:53.000],55.31
174,[00:02:54.000],47.15
175,[00:02:55.000],56.39
176,[00:02:56.000],51.14
177,[00:02:57.000],48.46
178,[00:02:58.000],54.80
179,[00:02:59.000],52.74
180,[00:03:00.000],52.13
181,[00:03:01.000],53.22
182,[00:03:02.000],43.20
183,[00:03:03.000],49.01
184,[00:03:04.000],53.10
185,[00:03:05.000],60.34
186,[00:03:06.000],48.47
187,[00:03:07.000],51.41
188,[00:03:08.000],53.46
189,[00:03:09.000],50.23
190,[00:03:10.000],50.57
191,[00:03:11.000],54.98
192,[00:03:12.000],46.59
193,[00:03:13.000],43.61
194,[00:03:14.000],42.66
195,[00:03:15.000],48.43
196,[00:03:16.000],41.48
197,[00:03:17.000],43.25
198,[00:03:18.000],44.49
199,[00:03:19.000],44.50
200,[00:03:20.000],60.56
201,[00:03:21.000],71.38
202,[00:03:22.000],96.44
203,[00:03:23.000],114.87
204,[00:03:24.000],124.88
205,[00:03:25.000],148.00
206,[00:03:26.000],155.26
207,[00:03:27.000],143.63
208,[00:03:28.000],149.03
209,[00:03:29.000],143.52
210,[00:03:30.000],150.71
211,[00:03:31.000],156.31
212,[00:03:32.000],147.84
213,[00:03:33.000],140.89
214,[00:03:34.000],151.76
215,[00:03:35.000],143.26
216,[00:03:36.000],153.54
217,[00:03:37.000],147.95
218,[00:03:38.000],147.77
219,[00:03:39.000],144.79
220,[00:03:40.000],148.35
221,[00:03:41.000],148.59
222,[00:03:42.000],152.16
223,[00:03:43.000],148.46
224,[00:03:44.000],149.72
225,[00:03:45.000],153.67
226,[00:03:46.000],150.49
227,[00:03:47.000],158.15
228,[00:03:48.000],152.80
229,[00:03:49.000],156.65
230,[00:03:50.000],148.61
231,[00:03:51.000],143.67
232,[00:03:52.000],148.75
233,[00:03:53.000],150.09
234,[00:03:54.000],151.89
235,[00:03:55.000],153.98
236,[00:03:56.000],145.80
237,[00:03:57.000],138.97
238,[00:03:58.000],144.36
239,[00:03:59.000],143.29
240,[00:04:00.000],158.03
241,[00:04:01.000],153.72
242,[00:04:02.000],154.31
243,[00:04:03.000],151.98
244,[00:04:04.000],152.55
245,[00:04:05.000],149.39
246,[00:04:06.000],150.46
247,[00:04:07.000],148.21
248,[00:04:08.000],148.20
249,[00:04:09.000],155.14
250,[00:04:10.000],155.39
251,[00:04:11.000],154.66
252,[00:04:12.000],142.70
253,[00:04:13.000],145.47
254,[00:04:14.000],146.60
255,[00:04:15.000],155.32
256,[00:04:16.000],146.54
257,[00:04:17.000],144.33
258,[00:04:18.000],144.53
259,[00:04:19.000],144.94
260,[00:04:20.000],152.05
261,[00:04:21.000],152.39
262,[00:04:22.000],138.35
263,[00:04:23.000],150.08
264,[00:04:24.000],154.90
265,[00:04:25.000],154.03
266,[00:04:26.000],150.60
267,[00:04:27.000],137.82
268,[00:04:28.000],150.16
269,[00:04:29.000],148.32
270,[00:04:30.000],148.68
271,[00:04:31.000],148.22
272,[00:04:32.000],147.59
273,[00:04:33.000],151.11
274,[00:04:34.000],162.15
275,[00:04:35.000],157.48
276,[00:04:36.000],146.41
277,[00:04:37.000],147.66
278,[00:04:38.000],153.31
279,[00:04:39.000],161.50
280,[00:04:40.000],151.64
281,[00:04:41.000],150.32
282,[00:04:42.000],144.30
283,[00:04:43.000],155.90
284,[00:04:44.000],150.21
285,[00:04:45.000],143.93
286,[00:04:46.000],150.37
287,[00:04:47.000],148.71
288,[00:04:48.000],151.33
289,[00:04:49.000],156.94
290,[00:04:50.000],150.97
291,[00:04:51.000],152.96
292,[00:04:52.000],145.85
293,[00:04:53.000],151.96
294,[00:04:54.000],151.92
295,[00:04:55.000],155.26
296,[00:04:56.000],155.78
297,[00:04:57.000],144.83
298,[00:04:58.000],148.73
299,[00:04:59.000],156.37
300,[00:05:00.000],157.51
